self_employed,income_annum,loan_amount,loan_term,cibil_score,assets,loan_status
No,656661,92762,20,606,906659,Rejected
No,611835,222883,10,732,980444,Rejected
Yes,644876,216598,15,798,1356688,Rejected
No,961087,98756,15,688,922934,Rejected
No,843242,189346,15,806,1485194,Approved
No,1005073,215099,15,708,588639,Approved
No,606438,168802,10,709,579783,Approved
Yes,1028068,222441,20,685,576591,Rejected
Yes,846474,122468,15,711,1245060,Approved
Yes,674002,151454,10,865,434137,Approved
Yes,906238,148909,20,729,808011,Approved
No,807645,254860,20,786,1680533,Approved
No,801553,101675,20,769,887174,Approved
Yes,735761,226717,15,768,1422205,Approved
No,756011,135856,10,797,1062769,Approved
Yes,965960,288262,15,764,1303501,Approved
No,853252,187669,10,673,1391368,Rejected
No,255107,52028,10,661,1368299,Rejected
No,553249,226612,20,736,646240,Rejected
No,634462,199725,20,756,1415070,Approved
No,663276,166182,15,725,224570,Rejected
No,637882,165658,15,738,656673,Approved
No,1003596,315370,20,810,1343456,Approved
No,513760,201175,10,701,964987,Rejected
No,1035431,145033,10,799,1095067,Approved
Yes,711047,44112,15,745,1319677,Approved
Yes,792874,175728,10,767,883833,Approved
Yes,399707,171155,10,703,1116377,Rejected
No,763750,184908,10,649,1404166,Rejected
Yes,621079,188280,15,766,1235396,Approved
No,684985,271020,10,718,793804,Rejected
No,420701,194014,15,623,638976,Rejected
No,976856,179137,10,760,1692660,Approved
Yes,1015925,236105,10,772,940081,Approved
No,924646,180274,15,663,1537033,Rejected
No,813645,119291,10,717,802362,Approved
No,643107,276963,10,736,587349,Rejected
No,983217,95820,15,760,1233214,Approved
No,568258,116356,10,668,1042302,Rejected
Yes,470223,66824,10,703,1054714,Approved
No,521701,168387,15,744,1241825,Approved
No,638427,177172,20,719,844856,Approved
No,813107,78576,15,809,1384433,Approved
Yes,448315,163403,15,693,666742,Rejected
No,520658,190997,10,783,744030,Rejected
No,1293608,361377,10,716,665038,Rejected
Yes,465265,354349,15,703,1613791,Rejected
No,747949,128441,15,832,1370469,Approved
No,1130762,126897,10,691,1400527,Rejected
No,703061,216836,10,793,1323550,Approved
No,526329,281421,10,634,1601171,Rejected
No,545176,204050,20,765,597881,Rejected
No,904757,22392,20,750,1694167,Approved
No,724287,121456,15,742,564897,Approved
No,1111899,178575,20,676,1978388,Rejected
Yes,911836,93671,20,677,1439210,Rejected
No,433031,325763,10,673,1099583,Rejected
No,526040,165665,15,687,1460345,Rejected
No,820007,217649,15,693,961849,Rejected
Yes,736294,389033,15,749,1155653,Rejected
Yes,893462,305565,15,702,1142253,Rejected
No,799888,100933,15,756,1259539,Approved
No,643569,57052,15,755,1469050,Approved
No,482966,96697,15,772,1825980,Approved
No,1103107,205955,15,699,1605231,Rejected
No,843417,110191,15,711,1466643,Approved
Yes,458345,198706,15,738,1204314,Rejected
Yes,523710,140527,15,713,1282212,Approved
No,905483,184202,10,717,341576,Rejected
No,755132,316990,20,713,926429,Rejected
Yes,608657,324877,10,751,1346050,Rejected
No,929993,166282,15,734,679121,Approved
Yes,368692,128205,15,728,1061099,Rejected
No,536950,328314,10,714,1454486,Rejected
Yes,1150130,202098,10,715,992615,Approved
No,469914,209640,10,725,1059579,Rejected
No,649781,295067,15,722,494164,Rejected
Yes,591284,233784,10,751,1102247,Rejected
Yes,672421,270030,10,741,1534903,Rejected
No,662744,180428,20,750,1301966,Approved
No,1001864,149814,10,749,1066998,Approved
No,678492,149860,10,754,504541,Approved
No,614598,280792,15,754,1303660,Rejected
No,577279,87031,15,783,970818,Approved
No,797913,298230,15,739,409539,Rejected
No,937023,137900,20,691,1064916,Rejected
No,787684,208997,15,691,831881,Rejected
No,976206,254680,20,816,1589914,Approved
Yes,975082,268571,10,733,1356391,Approved
No,454112,132986,10,647,893831,Rejected
No,609882,122335,20,800,1182705,Approved
No,635257,78316,15,643,679517,Rejected
No,753755,309290,10,633,1483398,Rejected
No,716771,250380,15,679,1257206,Rejected
No,1005960,319795,10,668,688607,Rejected
No,617000,85122,15,670,1279918,Rejected
No,679046,210324,10,757,2494062,Approved
No,755115,139532,10,679,1429818,Rejected
Yes,647729,50862,20,682,576346,Rejected
No,846732,123287,10,771,754333,Approved
No,489712,154270,15,707,764215,Approved
Yes,934856,205538,20,618,1620815,Rejected
No,842496,167434,10,771,512821,Approved
No,792268,251113,15,684,748551,Rejected
No,228807,241902,10,674,897447,Rejected
No,745697,150214,20,802,870586,Approved
No,738004,264412,10,759,513780,Rejected
No,925037,168523,10,754,458634,Approved
Yes,877835,186473,15,727,411262,Approved
No,586868,194857,20,754,1288819,Approved
No,697934,87773,15,791,1961050,Approved
No,655436,217449,15,663,645939,Rejected
No,278799,134958,10,736,713050,Rejected
Yes,889990,58862,10,703,646485,Approved
No,507907,99702,20,811,1493603,Approved
No,871411,285588,15,751,1323395,Approved
Yes,1266062,250192,10,727,992229,Approved
No,838568,179399,10,717,844381,Approved
Yes,372432,71895,10,663,1178842,Rejected
Yes,487096,320911,15,760,1423226,Rejected
No,463454,241075,20,668,1148538,Rejected
No,487043,206027,10,798,1333490,Rejected
No,558872,206529,10,688,461049,Rejected
No,843547,262919,10,722,1260519,Approved
Yes,888022,274410,10,713,1201985,Approved
No,105291,179433,10,703,837865,Rejected
No,764042,190605,20,670,956820,Rejected
No,350033,137909,15,704,1042624,Rejected
No,639591,209308,15,724,995157,Approved
No,723428,351594,15,670,900570,Rejected
No,625178,210586,20,722,1508534,Rejected
Yes,335653,244628,15,655,1146839,Rejected
No,919772,189435,15,693,1351956,Rejected
No,655189,249872,15,744,1539075,Rejected
Yes,668768,299704,10,727,124914,Rejected
No,1018575,240494,10,684,2041568,Rejected
Yes,1058651,228134,10,737,1091032,Approved
No,597230,313193,15,737,747760,Rejected
Yes,899374,177116,20,661,1264871,Rejected
No,852699,61541,15,678,130878,Rejected
No,558127,174329,20,709,1077412,Approved
No,748165,220767,15,753,1332347,Approved
Yes,623866,129283,15,788,1069208,Approved
Yes,801294,247499,15,735,1500392,Approved
No,727322,213838,10,715,605917,Approved
Yes,1106516,107977,15,682,384243,Rejected
No,696954,216298,10,804,978296,Approved
No,836430,170184,10,731,436336,Approved
Yes,607811,257524,10,759,1057672,Rejected
No,506024,133248,15,669,1299370,Rejected
No,679609,235489,15,668,1418008,Rejected
No,611787,116406,20,841,985701,Approved
No,705326,78828,15,712,1388182,Approved
Yes,957704,208197,15,740,1042141,Approved
No,731523,217224,15,791,744039,Approved
Yes,1247666,306340,15,715,1521198,Approved
No,786333,165655,10,597,1749780,Rejected
No,732859,260689,10,776,374584,Rejected
No,712327,108213,15,739,615008,Approved
No,753050,135257,15,717,813885,Approved
No,501884,68379,15,799,1286423,Approved
Yes,787347,214338,15,726,545980,Approved
No,857783,232158,15,733,1041522,Approved
No,599193,115286,10,755,354576,Approved
No,749136,211650,10,759,917897,Approved
No,831697,186208,10,724,1917712,Approved
No,427056,112463,15,739,705459,Approved
Yes,800698,220950,15,687,1004540,Rejected
No,863766,202453,15,693,953369,Rejected
No,792888,299101,20,635,1248634,Rejected
No,721113,205242,20,784,1347603,Approved
No,525118,138801,10,819,1202355,Approved
Yes,684173,185907,10,659,1176724,Rejected
No,521059,217799,15,752,1319764,Rejected
No,650208,247033,15,742,690485,Rejected
Yes,667474,182777,15,707,629422,Approved
Yes,576416,193884,15,682,292272,Rejected
No,794274,113481,15,759,1164627,Approved
No,718438,233441,10,664,1047368,Rejected
No,255592,139268,10,659,918303,Rejected
No,855642,288704,10,704,386074,Rejected
Yes,1086191,125229,15,782,671079,Approved
No,822983,47179,10,671,834912,Rejected
No,403186,217904,15,678,740621,Rejected
Yes,899555,11368,10,817,1091327,Approved
No,435221,275884,15,677,1255457,Rejected
No,625070,51152,15,762,1307697,Approved
No,687520,241015,10,758,951974,Rejected
No,749415,240746,15,735,1342424,Approved
Yes,273645,200980,20,758,841729,Rejected
No,519878,98344,20,763,1386921,Approved
Yes,609348,225473,15,781,1193462,Rejected
No,754666,327127,15,781,1357182,Rejected
No,922138,269944,10,732,1640432,Approved
No,779660,218688,10,787,1468162,Approved
No,747504,248459,15,716,991081,Approved
No,472640,295705,20,674,1056380,Rejected
No,1068439,116039,10,738,815795,Approved
No,1203018,264851,15,694,452425,Rejected
No,910636,171440,15,707,1006512,Approved
No,541004,41261,15,737,1470743,Approved
No,727988,222963,15,656,652041,Rejected
No,799281,211319,10,629,925767,Rejected
No,998671,196880,10,787,1354338,Approved
Yes,903775,135624,10,706,706897,Approved
No,586716,44549,10,849,628883,Approved
No,943722,300585,10,718,1035995,Approved
No,705750,193395,15,692,1438600,Rejected
Yes,1094952,189710,10,696,982262,Rejected
Yes,914511,238447,20,717,601197,Approved
No,795018,245054,20,754,1100760,Approved
Yes,908876,69084,10,770,1588890,Approved
Yes,744608,134271,15,764,374245,Approved
No,512807,156440,10,647,954809,Rejected
Yes,835539,45037,20,628,1158110,Rejected
No,887836,210182,20,694,1064402,Rejected
No,1005071,283716,20,700,1143892,Approved
No,984219,279152,15,682,1816411,Rejected
Yes,666031,268278,20,713,1872531,Rejected
No,1022754,311428,20,746,1148886,Approved
Yes,488135,215029,10,688,1724735,Rejected
No,968257,163051,15,642,458658,Rejected
Yes,643940,161092,15,750,754796,Approved
No,493217,73872,20,759,970560,Approved
No,616980,287986,20,645,656049,Rejected
No,741487,292592,15,681,746140,Rejected
No,1024778,275869,10,686,664099,Rejected
No,892931,290274,15,687,1360952,Rejected
Yes,273762,210082,15,764,930807,Rejected
No,728706,242861,15,717,1921732,Approved
No,834296,218404,10,733,598585,Approved
No,678281,210107,10,710,1637816,Approved
No,754925,350523,10,736,1299328,Rejected
No,1277197,120460,10,778,1088715,Approved
No,909406,224398,15,653,1222450,Rejected
Yes,743293,280260,20,716,550770,Rejected
Yes,747302,164512,20,786,1179396,Approved
No,628634,264202,20,692,1362248,Rejected
No,610803,190136,20,702,438071,Approved
No,951462,201358,15,795,837812,Approved
No,994536,230703,10,583,1276604,Rejected
No,469259,220494,15,725,802273,Rejected
No,980555,181642,15,685,935997,Rejected
No,823546,194038,20,651,868071,Rejected
No,1071380,327403,10,715,1441090,Approved
Yes,597975,213931,15,744,1363793,Rejected
No,888616,173541,20,754,764128,Approved
No,931378,331380,20,765,1093792,Rejected
Yes,680844,104958,10,702,897952,Approved
No,723621,173854,20,737,1746443,Approved
No,841454,270319,10,797,830815,Approved
No,388180,183949,20,694,1316255,Rejected
No,912637,174320,10,625,194951,Rejected
No,816212,235579,10,668,836339,Rejected
No,755604,225645,15,757,1423060,Approved
No,979831,190916,15,856,1147746,Approved
No,756404,211597,15,734,1250323,Approved
No,722779,182882,10,816,580786,Approved
No,831120,212073,15,725,1516649,Approved
Yes,600798,128194,20,747,500916,Approved
Yes,716359,236926,20,752,434469,Rejected
Yes,559539,297846,15,717,782990,Rejected
Yes,642404,391067,10,652,994943,Rejected
No,594377,189217,15,794,1598851,Approved
No,947763,216094,15,664,793052,Rejected
Yes,586127,225896,10,630,422584,Rejected
No,684195,71302,10,748,880958,Approved
No,679716,221545,20,694,813189,Rejected
No,961423,426534,15,610,803078,Rejected
No,661423,393478,15,708,919613,Rejected
No,346327,219323,10,805,807472,Rejected
Yes,1060137,214563,15,747,1202361,Approved
No,564281,201187,15,714,1514304,Rejected
Yes,763573,149058,15,740,682738,Approved
No,739056,189640,15,733,526253,Approved
No,468181,144023,15,698,585744,Rejected
No,878776,256928,15,675,1137816,Rejected
No,612450,207117,15,735,1158070,Rejected
No,1063252,255267,10,704,1025506,Approved
Yes,378534,240505,15,741,1088059,Rejected
No,806428,265158,15,703,1570051,Approved
Yes,829488,99850,10,741,1526976,Approved
No,671500,191879,15,744,340960,Rejected
Yes,723406,95214,10,788,9772,Rejected
Yes,565611,178160,10,724,1074582,Approved
Yes,717274,69664,10,741,578390,Approved
Yes,838244,125370,10,729,921872,Approved
Yes,830705,301152,10,857,607426,Rejected
No,803518,209540,10,714,1037342,Approved
No,523960,357691,10,632,64388,Rejected
No,891519,242739,15,740,1222297,Approved
No,1010487,131526,15,741,1251210,Approved
No,652671,293177,15,744,836538,Rejected
No,976358,283768,15,689,869807,Rejected
Yes,550216,385042,10,670,766934,Rejected
No,388015,363140,10,718,539226,Rejected
No,884414,154711,20,730,1220785,Approved
No,888695,275875,10,720,1409267,Approved
Yes,832832,175852,10,838,562973,Approved
No,478890,225507,15,791,440446,Rejected
No,770783,182390,20,753,724852,Approved
Yes,967228,108313,10,720,411251,Approved
Yes,881668,293078,10,709,830890,Approved
Yes,905201,363354,10,759,327301,Rejected
No,591075,124409,20,709,2069221,Approved
No,919081,99838,15,740,1077068,Approved
No,775171,189080,10,762,936411,Approved
No,888910,258514,20,765,1631371,Approved
Yes,931491,104684,20,722,1186862,Approved
No,345442,367677,15,744,1072633,Rejected
No,586524,60026,15,700,1106790,Approved
Yes,652911,92002,20,771,595353,Approved
No,668857,288760,20,752,880501,Rejected
No,830864,188375,10,682,-92975,Rejected
No,492986,159092,20,760,1708889,Approved
No,964743,109061,15,729,1050467,Approved
Yes,368281,85908,15,810,-76787,Rejected
No,823638,215509,10,770,1232462,Approved
No,796088,356434,15,779,1287734,Rejected
No,752374,250510,15,664,1640281,Rejected
Yes,892086,378936,20,675,943897,Rejected
No,799214,224894,15,768,472080,Approved
No,568047,314182,10,713,442436,Rejected
No,831306,170105,20,701,491149,Approved
Yes,910501,237849,20,736,1074161,Approved
No,623443,285074,10,645,1331340,Rejected
Yes,339015,275624,15,677,508416,Rejected
Yes,643394,148332,15,742,1561536,Approved
Yes,846281,174625,10,663,1272308,Rejected
No,758348,192529,10,727,1097925,Approved
Yes,436203,282879,10,730,1363379,Rejected
No,475863,243902,10,703,127480,Rejected
Yes,687612,183912,20,647,450044,Rejected
No,817890,235890,10,780,459838,Rejected
Yes,962815,292374,15,714,1066874,Approved
No,934560,85448,20,721,1001686,Approved
Yes,657941,171835,10,653,1767135,Rejected
No,634817,239899,20,682,943813,Rejected
Yes,766680,163339,20,759,63063,Rejected
No,499537,75924,20,752,734476,Approved
No,850091,175062,15,754,829752,Approved
Yes,718963,289079,10,767,1082581,Rejected
Yes,746618,169267,15,802,433973,Approved
Yes,765508,203368,15,719,1162168,Approved
Yes,783101,298635,10,711,586364,Rejected
No,718768,232511,20,689,672644,Rejected
Yes,426494,144297,10,785,1025684,Rejected
No,707939,86613,10,676,1073777,Rejected
No,887824,71277,15,726,780135,Approved
No,710318,134423,10,757,622743,Approved
No,577298,153996,15,817,1190337,Approved
Yes,623098,286776,20,687,1706619,Rejected
No,760394,173298,15,682,709954,Rejected
Yes,985763,134487,15,756,1046575,Approved
No,1023146,214378,10,727,1542556,Approved
No,769322,116695,20,695,820202,Rejected
No,1105341,172672,15,854,751518,Approved
Yes,706283,171440,10,718,576361,Approved
No,583347,-45633,20,724,832477,Approved
Yes,685311,50370,20,686,931912,Rejected
No,701139,227865,15,722,581084,Approved
No,509392,206843,10,689,1409159,Rejected
No,1148842,76241,10,740,661030,Approved
Yes,667630,82853,15,699,606173,Rejected
No,656199,221525,15,781,1234090,Rejected
Yes,603694,158505,20,715,974336,Approved
No,880424,370707,20,684,603001,Rejected
No,771629,257632,10,715,538262,Rejected
No,632125,190804,20,707,728136,Approved
No,828069,246173,10,782,504803,Approved
No,653533,158525,15,729,868690,Approved
No,473714,227679,10,734,921748,Rejected
No,596972,151540,15,689,355223,Rejected
No,760043,202337,20,619,1320330,Rejected
No,446302,209662,15,709,1217885,Rejected
No,856897,275605,10,693,286314,Rejected
No,491352,266306,10,713,864569,Rejected
No,661495,251368,15,665,1183823,Rejected
No,608358,236526,15,749,1647807,Rejected
No,505576,276900,10,678,812804,Rejected
Yes,754126,330003,20,675,678832,Rejected
No,544943,141318,15,749,1318231,Approved
No,818537,200958,10,738,1174616,Approved
No,556906,109818,20,757,940797,Approved
No,428364,103404,10,761,642895,Approved
No,595816,280900,15,744,1354646,Rejected
No,733815,427691,10,657,1293514,Rejected
No,625059,130310,10,683,1009878,Rejected
No,879790,195381,10,809,1035005,Approved
No,683888,186027,15,668,246518,Rejected
Yes,924855,216064,10,720,969572,Approved
No,788799,203900,15,752,775552,Approved
Yes,796295,196178,15,670,204106,Rejected
No,586260,203660,20,723,1238696,Rejected
Yes,744625,109716,20,775,425855,Approved
No,687257,103870,10,639,1399857,Rejected
No,515012,248331,20,773,476127,Rejected
Yes,676979,178251,10,804,1535674,Approved
No,855763,239097,20,722,463950,Rejected
Yes,590731,76770,20,814,494220,Approved
Yes,627666,366678,20,775,788512,Rejected
No,801156,250148,20,651,907132,Rejected
No,715200,225724,20,688,1284935,Rejected
No,867595,133336,10,799,1457252,Approved
No,534258,190341,15,738,888862,Rejected
Yes,704902,209416,15,800,1334927,Approved
No,869335,268291,10,707,1098848,Approved
No,233508,78112,15,757,1031593,Rejected
Yes,926814,276821,15,774,928804,Approved
No,850294,99767,10,729,882317,Approved
No,738626,142728,15,750,665767,Approved
Yes,1103296,264250,15,745,1436795,Approved
No,883876,207263,10,760,389076,Rejected
Yes,709462,171077,15,705,1573972,Approved
No,986519,196855,15,718,1407339,Approved
No,1064642,76885,10,617,486213,Rejected
No,1014429,168594,20,778,809825,Approved
No,959682,212457,20,767,36667,Rejected
No,1102566,282541,10,650,1490502,Rejected
No,784225,109142,10,750,1034931,Approved
No,512261,131992,20,685,761549,Rejected
No,1130342,106031,20,732,732170,Approved
No,383633,142541,15,670,985648,Rejected
No,814430,273266,20,740,1403080,Rejected
Yes,404683,166965,15,691,842000,Rejected
Yes,640804,18470,20,641,1031623,Rejected
No,619810,209979,10,665,1972122,Rejected
No,701436,170423,20,641,228693,Rejected
Yes,991654,100541,10,763,968277,Approved
Yes,515574,181922,20,716,1274696,Rejected
No,661271,251571,10,678,1390677,Rejected
No,1094220,129211,10,797,540423,Approved
No,1024036,341171,20,685,664821,Rejected
No,662146,321500,15,671,-181481,Rejected
No,977606,162686,15,730,565184,Approved
No,696857,137762,15,630,844795,Rejected
No,822686,280598,15,777,1203871,Rejected
Yes,848353,93584,20,691,1128920,Rejected
No,900088,209661,10,821,1067015,Approved
Yes,1089419,243898,15,743,877377,Approved
No,819351,44946,15,775,1779927,Approved
No,657083,106939,10,743,291308,Approved
Yes,715795,149674,15,758,965696,Approved
No,735181,208673,15,756,1079438,Approved
No,1110109,176285,20,730,1111869,Approved
No,704483,140550,15,683,1166668,Rejected
No,677623,252907,10,683,973383,Rejected
Yes,566540,194114,20,718,917646,Rejected
Yes,153407,108228,15,698,304455,Rejected
Yes,441978,26188,15,732,1719489,Approved
No,943019,226030,20,698,667908,Rejected
No,661345,80707,10,749,945396,Approved
No,312569,137411,10,704,668889,Rejected
No,520066,224294,15,691,597185,Rejected
No,752483,148578,20,824,856572,Approved
No,1019340,236762,10,673,601317,Rejected
No,894343,269738,15,772,1346043,Approved
Yes,928284,128730,10,740,309407,Approved
No,771316,85642,10,815,863170,Approved
Yes,519655,261294,10,737,1444965,Rejected
Yes,510165,33533,10,728,669314,Approved
No,787080,381605,15,657,1174134,Rejected
Yes,653029,132377,20,695,1480818,Rejected
No,833052,177936,15,680,1120079,Rejected
No,930583,236082,15,746,754789,Approved
Yes,605425,311116,15,727,1169448,Rejected
No,384848,141669,10,741,364423,Rejected
No,594784,149823,15,728,804441,Approved
No,415195,176420,15,770,910537,Rejected
No,552607,329917,15,742,1524987,Rejected
No,713015,175867,10,677,1678161,Rejected
No,1110198,157781,15,708,1236788,Approved
No,260188,157383,10,695,894816,Rejected
No,773531,159340,15,805,1228036,Approved
No,705385,234190,20,699,983708,Rejected
No,605237,253027,15,684,971975,Rejected
No,657746,186704,20,657,777817,Rejected
Yes,696613,258553,10,718,572502,Rejected
