Scheme_Name,Interest_Rate,Loan_Term_Years,Min_Income,Max_Income,Min_CIBIL,Max_CIBIL,Min_Loan_Amount,Max_Loan_Amount,Bank_Name,Loan_Type
PNB Housing Finance Home Loan,11.474136752138243,16,44561.0,183470.0,775.0,881.0,1503000.0,4961941.0,ICICI Bank,Home
SBI FlexiPay Home Loan,9.989499894055426,11,38033.0,120910.0,707.0,875.0,2103566.0,3173286.0,Bank of Baroda,Home
Axis Asha Home Loan,11.609371175115584,8,92887.0,107141.0,782.0,872.0,1768026.0,4614773.0,Bank of Baroda,Home
Kotak Mahindra Home Loan,7.442462510259597,14,75063.0,145950.0,708.0,863.0,1672764.0,4477247.0,ICICI Bank,Home
SBI Regular Home Loan,7.979914312095726,17,45921.0,155723.0,777.0,878.0,2150127.0,3673180.0,Kotak Mahindra Bank,Home
SBI Regular Home Loan,7.22613644455269,6,39340.0,116225.0,823.0,874.0,2455821.0,2840920.0,Bank of Baroda,Home
Axis Asha Home Loan,8.626651653816321,14,82781.0,187123.0,845.0,880.0,759751.0,3547346.0,Bank of Baroda,Home
Baroda Home Loan,8.94338644844741,25,34901.0,132959.0,741.0,851.0,892455.0,2535031.0,Bank of Baroda,Home
HDFC Home Loan,8.35674515886948,26,30638.0,149192.0,740.0,851.0,2185089.0,3008186.0,Kotak Mahindra Bank,Home
Axis Asha Home Loan,11.143687545759647,29,58596.0,179711.0,788.0,872.0,860069.0,2614619.0,Kotak Mahindra Bank,Home
SBI Regular Home Loan,8.783766633467947,8,64324.0,110051.0,776.0,896.0,1414860.0,3458012.0,Kotak Mahindra Bank,Home
HDFC Reach Home Loans,8.404672548436904,22,52642.0,171428.0,753.0,860.0,561804.0,3666550.0,ICICI Bank,Home
Axis Asha Home Loan,9.713480415791242,9,45378.0,103449.0,796.0,878.0,2165204.0,2793245.0,Punjab National Bank,Home
Kotak Delight Home Loans,7.704621124873813,23,70867.0,141095.0,797.0,891.0,775165.0,3890484.0,Kotak Mahindra Bank,Home
HDFC Home Loan,11.010984903770199,6,93686.0,177929.0,755.0,884.0,2190475.0,3966539.0,ICICI Bank,Home
Baroda Top Up Loan,7.372753218398854,16,62875.0,129190.0,799.0,898.0,544001.0,2873980.0,ICICI Bank,Home
Baroda Home Loan,11.934434683002586,21,84377.0,197069.0,844.0,858.0,2223028.0,4168190.0,Bank of Baroda,Home
SBI Regular Home Loan,10.861223846483288,14,74691.0,126141.0,709.0,881.0,922131.0,2764026.0,Axis Bank,Home
Kotak Delight Home Loans,7.993578407670862,6,84303.0,123908.0,743.0,879.0,1004120.0,4657117.0,Punjab National Bank,Home
SBI Regular Home Loan,7.027610585618012,10,80839.0,132322.0,829.0,864.0,1995115.0,2719866.0,Punjab National Bank,Home
Kotak Delight Home Loans,11.07730714227417,12,69063.0,150710.0,841.0,863.0,1937552.0,4293358.0,Punjab National Bank,Home
Baroda Home Loan,10.534286719238086,23,98343.0,114012.0,829.0,866.0,2017829.0,4769784.0,ICICI Bank,Home
ICICI Insta Home Loan,10.645035840204937,15,25492.0,134889.0,718.0,871.0,1131014.0,3798126.0,State Bank of India,Home
Baroda Top Up Loan,10.85635173342973,29,51357.0,117412.0,779.0,879.0,682974.0,3370375.0,HDFC Bank,Home
Baroda Top Up Loan,7.3702232586704515,16,91838.0,196150.0,788.0,866.0,777883.0,2615154.0,ICICI Bank,Home
PNB Housing Finance Home Loan,8.792328642721364,13,52314.0,124657.0,700.0,865.0,1526693.0,4994318.0,HDFC Bank,Home
ICICI Insta Home Loan,7.579345297625649,6,68697.0,105656.0,829.0,857.0,1359444.0,2634961.0,HDFC Bank,Home
ICICI Home Loan,11.315517129377968,12,90283.0,108967.0,726.0,888.0,2015259.0,3043264.0,ICICI Bank,Home
HDFC Reach Home Loans,10.11649063413779,15,79567.0,184958.0,701.0,880.0,513699.0,2785160.0,Bank of Baroda,Home
HDFC Reach Home Loans,8.654490124263246,25,67006.0,115764.0,837.0,861.0,633876.0,3230107.0,Bank of Baroda,Home
Axis Bank Home Loan,7.317791751430118,8,80011.0,115873.0,718.0,882.0,1990696.0,2709697.0,Kotak Mahindra Bank,Home
ICICI Home Loan,8.554911608578312,14,30686.0,194485.0,840.0,861.0,1996388.0,4579950.0,Kotak Mahindra Bank,Home
HDFC Home Loan,8.625916610133736,25,57449.0,151030.0,813.0,874.0,1729641.0,4208372.0,Bank of Baroda,Home
HDFC Home Loan,10.64803089169032,24,81606.0,167807.0,755.0,887.0,957582.0,4745311.0,HDFC Bank,Home
Axis Asha Home Loan,10.187787356776067,20,38891.0,101607.0,794.0,897.0,1062631.0,3574004.0,Axis Bank,Home
HDFC Home Loan,11.436063712881634,12,72115.0,119523.0,848.0,867.0,904991.0,3785588.0,Axis Bank,Home
Axis Bank Home Loan,9.361074625809746,8,80719.0,148447.0,756.0,868.0,1277558.0,4852891.0,Kotak Mahindra Bank,Home
Axis Asha Home Loan,7.597971229691509,14,93030.0,149757.0,801.0,852.0,1544995.0,3986539.0,Bank of Baroda,Home
Baroda Top Up Loan,10.566223936114975,16,56723.0,193526.0,769.0,884.0,1133273.0,4704521.0,State Bank of India,Home
HDFC Reach Home Loans,10.803925243084487,18,49877.0,169201.0,781.0,854.0,1873732.0,4631501.0,Bank of Baroda,Home
PNB Pride Housing Loan,9.80638598784748,20,34026.0,181844.0,748.0,884.0,809830.0,3076772.0,Punjab National Bank,Home
Axis Asha Home Loan,10.854835899772805,26,40422.0,171388.0,790.0,876.0,2259493.0,4284385.0,Kotak Mahindra Bank,Home
Kotak Mahindra Home Loan,9.468977981821954,22,29244.0,105462.0,704.0,886.0,826380.0,3599413.0,ICICI Bank,Home
PNB Pride Housing Loan,9.61366414690997,25,53481.0,131795.0,756.0,895.0,1725522.0,3099621.0,Kotak Mahindra Bank,Home
Baroda Top Up Loan,9.137705091792748,26,78031.0,169806.0,791.0,870.0,1678601.0,3818251.0,ICICI Bank,Home
ICICI Insta Home Loan,7.127095633720476,25,28521.0,148465.0,735.0,865.0,1666798.0,4610977.0,Kotak Mahindra Bank,Home
ICICI Home Loan,7.539457134966522,16,21746.0,161109.0,837.0,877.0,2104450.0,4931743.0,Kotak Mahindra Bank,Home
Axis Asha Home Loan,7.157145928433671,22,88232.0,190027.0,811.0,874.0,557009.0,2925532.0,Kotak Mahindra Bank,Home
Baroda Home Loan,10.182052056318902,11,32012.0,150528.0,847.0,882.0,1549183.0,2833411.0,Bank of Baroda,Home
SBI Regular Home Loan,8.571779905381634,24,43457.0,136230.0,712.0,866.0,2301101.0,4876575.0,Kotak Mahindra Bank,Home
HDFC Reach Home Loans,9.542853455823515,28,90572.0,148242.0,821.0,892.0,1539586.0,4971055.0,Axis Bank,Home
ICICI Insta Home Loan,11.537832369630465,27,49960.0,165883.0,808.0,879.0,2372394.0,3199583.0,Kotak Mahindra Bank,Home
Kotak Mahindra Home Loan,8.246461145744375,11,27910.0,198366.0,846.0,890.0,841769.0,3707648.0,Punjab National Bank,Home
Baroda Home Loan,9.051914615178148,13,22693.0,101783.0,791.0,853.0,2004444.0,4478125.0,ICICI Bank,Home
Baroda Home Loan,10.777755692715242,5,35858.0,128390.0,801.0,851.0,2186736.0,4895595.0,State Bank of India,Home
Kotak Mahindra Home Loan,8.143990827458111,10,48810.0,108417.0,755.0,858.0,726316.0,4804426.0,Axis Bank,Home
ICICI Insta Home Loan,7.384899549143965,10,40092.0,172102.0,744.0,880.0,1470616.0,3960037.0,ICICI Bank,Home
Kotak Mahindra Home Loan,8.44875726456884,26,68700.0,117426.0,759.0,874.0,930241.0,4826326.0,Kotak Mahindra Bank,Home
Kotak Mahindra Home Loan,7.8061064362700225,16,78105.0,130750.0,753.0,886.0,1138523.0,3969131.0,Axis Bank,Home
PNB Pride Housing Loan,11.648488261712865,26,50505.0,158188.0,736.0,885.0,2455308.0,4416958.0,State Bank of India,Home
PNB Pride Housing Loan,11.040601897822086,16,93228.0,110872.0,736.0,854.0,2055890.0,2694891.0,HDFC Bank,Home
Kotak Delight Home Loans,10.167018782552118,14,48555.0,194231.0,713.0,873.0,1349924.0,4986183.0,Punjab National Bank,Home
HDFC Home Loan,11.357302950938589,27,91934.0,148086.0,794.0,873.0,1689871.0,4220562.0,Punjab National Bank,Home
Baroda Top Up Loan,11.018360384495573,10,92788.0,166770.0,801.0,878.0,2056681.0,4184141.0,Kotak Mahindra Bank,Home
ICICI Home Loan,7.932850294430179,21,97257.0,194368.0,741.0,899.0,785087.0,3971904.0,Axis Bank,Home
ICICI Home Loan,11.46279499244989,23,37939.0,183514.0,700.0,894.0,1635627.0,2755450.0,Punjab National Bank,Home
SBI Regular Home Loan,9.696711209578254,22,31825.0,188177.0,722.0,880.0,1381587.0,2603812.0,Punjab National Bank,Home
PNB Housing Finance Home Loan,11.037200775820313,10,44151.0,192663.0,727.0,886.0,956076.0,4800775.0,Bank of Baroda,Home
SBI Regular Home Loan,11.480456499617466,28,20036.0,134720.0,831.0,868.0,2041460.0,4825179.0,State Bank of India,Home
Axis Asha Home Loan,8.59001737485932,23,59051.0,118079.0,717.0,872.0,1352719.0,4588404.0,Bank of Baroda,Home
Axis Bank Home Loan,7.550259622638384,14,93596.0,117338.0,748.0,884.0,1660117.0,2628407.0,Axis Bank,Home
SBI Regular Home Loan,8.139675812709708,28,80071.0,103291.0,746.0,899.0,1792660.0,4439974.0,State Bank of India,Home
ICICI Insta Home Loan,9.135538943131282,12,93601.0,174084.0,814.0,855.0,1916569.0,3021404.0,Axis Bank,Home
PNB Pride Housing Loan,11.090073829612464,25,49873.0,199272.0,738.0,855.0,1357312.0,4543230.0,HDFC Bank,Home
Axis Asha Home Loan,11.303652916281717,28,56648.0,149393.0,705.0,886.0,927189.0,4202170.0,HDFC Bank,Home
ICICI Insta Home Loan,7.034760652655954,10,91468.0,193558.0,752.0,879.0,1754696.0,4230171.0,Kotak Mahindra Bank,Home
HDFC Home Loan,9.553736512887829,25,46470.0,169770.0,724.0,850.0,1716303.0,4368374.0,Kotak Mahindra Bank,Home
Baroda Top Up Loan,9.087055015743895,29,85129.0,126720.0,798.0,857.0,1779282.0,3862067.0,Punjab National Bank,Home
HDFC Home Loan,8.110539052353651,11,28328.0,113368.0,764.0,877.0,1622734.0,4105701.0,ICICI Bank,Home
Baroda Home Loan,7.599326836668414,28,26333.0,154313.0,832.0,874.0,957393.0,3689233.0,Kotak Mahindra Bank,Home
PNB Pride Housing Loan,8.68807585701814,5,66638.0,147969.0,707.0,882.0,622207.0,3378193.0,HDFC Bank,Home
Kotak Delight Home Loans,11.714548519562596,22,31268.0,148838.0,738.0,887.0,1651563.0,4076546.0,Bank of Baroda,Home
HDFC Home Loan,8.616014660103776,28,90603.0,108734.0,810.0,863.0,2133325.0,3623614.0,Punjab National Bank,Home
Axis Asha Home Loan,9.59395310871683,29,37045.0,199329.0,742.0,860.0,2091522.0,3947205.0,HDFC Bank,Home
Kotak Delight Home Loans,10.515094794475889,24,60741.0,112197.0,781.0,851.0,1146499.0,4619136.0,State Bank of India,Home
HDFC Reach Home Loans,8.81814801189647,16,62770.0,168895.0,822.0,879.0,1846853.0,4331045.0,Punjab National Bank,Home
PNB Pride Housing Loan,11.858910413604804,20,27887.0,156831.0,832.0,879.0,2287119.0,4599227.0,State Bank of India,Home
Baroda Home Loan,11.812236474710556,14,44918.0,158073.0,703.0,853.0,1935995.0,2926766.0,Axis Bank,Home
Kotak Delight Home Loans,8.258911479126821,14,55497.0,172925.0,807.0,862.0,1831340.0,4682878.0,Kotak Mahindra Bank,Home
Kotak Delight Home Loans,9.486242529461927,18,81009.0,180488.0,792.0,856.0,930283.0,3908519.0,Axis Bank,Home
PNB Housing Finance Home Loan,8.504391549083849,29,31929.0,194611.0,828.0,887.0,2011061.0,4115157.0,Bank of Baroda,Home
Kotak Delight Home Loans,8.424202471887337,24,81762.0,184475.0,793.0,852.0,660747.0,2970661.0,Kotak Mahindra Bank,Home
Axis Asha Home Loan,7.184434736772664,14,99099.0,150302.0,755.0,858.0,2271137.0,2660284.0,Axis Bank,Home
PNB Pride Housing Loan,10.047821669899484,14,48546.0,115624.0,702.0,863.0,2073724.0,3860929.0,Bank of Baroda,Home
SBI FlexiPay Home Loan,9.513395116144308,29,98424.0,167271.0,721.0,860.0,2188396.0,4283847.0,HDFC Bank,Home
Baroda Home Loan,7.257393756249947,15,57338.0,124315.0,755.0,886.0,1314050.0,3789545.0,Axis Bank,Home
ICICI Insta Home Loan,8.393232321183056,27,54283.0,117422.0,717.0,863.0,1314348.0,3463468.0,Bank of Baroda,Home
Axis Bank Home Loan,11.541329429833269,6,98170.0,139137.0,815.0,868.0,1756865.0,4402653.0,State Bank of India,Home
HDFC Reach Home Loans,8.197809453334862,29,66566.0,172663.0,783.0,857.0,2417064.0,2953717.0,Kotak Mahindra Bank,Home
SBI FlexiPay Home Loan,7.7244743604561155,24,48013.0,148232.0,729.0,856.0,1374099.0,4985972.0,Bank of Baroda,Home
ICICI Insta Home Loan,9.447263801387816,12,72132.0,178142.0,779.0,856.0,1571454.0,3277331.0,Punjab National Bank,Home
SBI FlexiPay Home Loan,11.928252270553003,27,48084.0,132743.0,765.0,852.0,1101248.0,4461536.0,State Bank of India,Home
SBI Regular Home Loan,8.210276357557502,11,41143.0,199546.0,709.0,852.0,1062842.0,2566856.0,HDFC Bank,Home
SBI Regular Home Loan,10.360677737029393,12,34179.0,115636.0,758.0,867.0,2230732.0,2875162.0,Axis Bank,Home
Kotak Mahindra Home Loan,10.808098076643589,5,78726.0,190884.0,750.0,894.0,902561.0,3892243.0,Punjab National Bank,Home
Baroda Home Loan,8.188187719961999,25,30222.0,110108.0,822.0,882.0,1479022.0,3061473.0,HDFC Bank,Home
Kotak Delight Home Loans,10.641081743059297,6,79965.0,173634.0,836.0,886.0,1410290.0,4797459.0,Axis Bank,Home
PNB Pride Housing Loan,8.838915663596266,22,84068.0,136180.0,753.0,877.0,1672024.0,3991676.0,Kotak Mahindra Bank,Home
PNB Housing Finance Home Loan,10.161529152967898,19,43949.0,118883.0,780.0,885.0,724094.0,3529476.0,Axis Bank,Home
HDFC Home Loan,10.167648553804474,5,36116.0,144400.0,836.0,865.0,784728.0,2823150.0,Kotak Mahindra Bank,Home
ICICI Home Loan,9.678873420373792,9,71052.0,145999.0,708.0,864.0,2072239.0,2785083.0,HDFC Bank,Home
SBI Regular Home Loan,7.451448850272041,6,71369.0,147951.0,800.0,878.0,1560174.0,2841882.0,Bank of Baroda,Home
Kotak Mahindra Home Loan,11.17651247794619,24,68817.0,107160.0,738.0,867.0,2277797.0,4954052.0,HDFC Bank,Home
HDFC Home Loan,8.60390032485868,7,94311.0,155262.0,835.0,898.0,1960237.0,2967548.0,HDFC Bank,Home
Kotak Delight Home Loans,7.932592551999271,23,49655.0,119929.0,809.0,895.0,805957.0,3157082.0,Kotak Mahindra Bank,Home
ICICI Home Loan,7.20387570777382,22,77802.0,183133.0,765.0,895.0,634802.0,3460868.0,Bank of Baroda,Home
PNB Pride Housing Loan,9.95446471594121,26,67632.0,111123.0,709.0,868.0,1035972.0,3923560.0,Bank of Baroda,Home
Kotak Mahindra Home Loan,10.387821809211413,22,34193.0,128357.0,816.0,878.0,1999262.0,4084538.0,Bank of Baroda,Home
SBI FlexiPay Home Loan,7.082939144639281,18,50776.0,170496.0,782.0,855.0,866570.0,4973247.0,Bank of Baroda,Home
PNB Pride Housing Loan,9.560465291496405,28,63225.0,133556.0,838.0,894.0,665635.0,4468892.0,State Bank of India,Home
HDFC Home Loan,8.13247887598969,12,80010.0,183791.0,833.0,899.0,2476121.0,4312013.0,State Bank of India,Home
Baroda Home Loan,10.225863952047249,16,85451.0,161934.0,769.0,896.0,946681.0,2622225.0,Bank of Baroda,Home
Kotak Mahindra Home Loan,7.871832145024957,25,68812.0,178886.0,738.0,876.0,1622299.0,3944070.0,State Bank of India,Home
Axis Asha Home Loan,10.45468869051233,14,38895.0,130881.0,712.0,856.0,561320.0,4579838.0,Punjab National Bank,Home
HDFC Home Loan,8.933676731502686,27,85782.0,118409.0,758.0,876.0,1913864.0,4596345.0,Axis Bank,Home
Baroda Home Loan,11.683649943683672,24,41209.0,155416.0,766.0,868.0,794768.0,2700231.0,Bank of Baroda,Home
Axis Asha Home Loan,7.687604720729967,21,81807.0,198171.0,740.0,866.0,2280391.0,3074154.0,Bank of Baroda,Home
ICICI Insta Home Loan,8.705331755251292,15,43086.0,167982.0,734.0,890.0,1814446.0,3339737.0,Bank of Baroda,Home
Kotak Delight Home Loans,7.567367606202946,6,47207.0,130657.0,780.0,860.0,2330376.0,4699985.0,Kotak Mahindra Bank,Home
Baroda Top Up Loan,11.623468091392814,8,40897.0,186743.0,733.0,854.0,1252612.0,3495310.0,HDFC Bank,Home
Baroda Top Up Loan,11.386696766904905,5,83083.0,148951.0,775.0,851.0,729635.0,2650025.0,Axis Bank,Home
SBI Regular Home Loan,8.289708138575778,19,86957.0,108752.0,769.0,896.0,681465.0,3190943.0,Punjab National Bank,Home
PNB Housing Finance Home Loan,10.299920230170894,17,98506.0,113440.0,710.0,861.0,1157203.0,4817116.0,Axis Bank,Home
Kotak Mahindra Home Loan,11.08611100100608,12,27283.0,144864.0,811.0,891.0,2389937.0,3808408.0,Kotak Mahindra Bank,Home
Kotak Mahindra Home Loan,9.776004057997312,29,20255.0,149691.0,726.0,891.0,1220820.0,3811608.0,Punjab National Bank,Home
SBI FlexiPay Home Loan,9.648252891780032,8,96555.0,172035.0,747.0,860.0,2348762.0,4682661.0,Bank of Baroda,Home
SBI Regular Home Loan,8.209261454502258,14,35487.0,186675.0,723.0,859.0,1544578.0,3309842.0,Bank of Baroda,Home
Axis Asha Home Loan,7.465513839029496,23,39346.0,180303.0,717.0,877.0,1184213.0,3567190.0,Bank of Baroda,Home
Axis Asha Home Loan,11.486078789766633,22,55050.0,122343.0,726.0,856.0,2001352.0,3408574.0,ICICI Bank,Home
ICICI Insta Home Loan,11.502090285816653,9,28744.0,193248.0,753.0,863.0,1508571.0,4575770.0,ICICI Bank,Home
Baroda Top Up Loan,10.16550728636634,23,44756.0,119673.0,754.0,862.0,595324.0,3935805.0,ICICI Bank,Home
HDFC Home Loan,8.695148955243504,27,81596.0,159954.0,819.0,854.0,1228692.0,3547874.0,Axis Bank,Home
HDFC Reach Home Loans,8.746047873063304,26,45146.0,154698.0,720.0,891.0,1028855.0,3863770.0,Axis Bank,Home
PNB Housing Finance Home Loan,10.629778394351197,20,75032.0,195024.0,814.0,857.0,988963.0,3616725.0,Axis Bank,Home
Axis Bank Home Loan,11.485551299762886,5,62687.0,126520.0,819.0,899.0,705908.0,4194567.0,State Bank of India,Home
Axis Asha Home Loan,11.435432121325587,16,66103.0,115784.0,757.0,850.0,824262.0,3394740.0,Bank of Baroda,Home
Kotak Mahindra Home Loan,10.899377729288119,28,41976.0,138079.0,753.0,854.0,2000678.0,4547596.0,State Bank of India,Home
ICICI Home Loan,10.21015823077144,6,82863.0,144220.0,845.0,860.0,2367158.0,3593442.0,State Bank of India,Home
Axis Asha Home Loan,7.4206998249752445,25,20591.0,120491.0,702.0,892.0,697863.0,2959429.0,Kotak Mahindra Bank,Home
Kotak Delight Home Loans,7.808143570473069,29,26277.0,148720.0,828.0,897.0,1804826.0,3494142.0,Bank of Baroda,Home
Baroda Top Up Loan,11.492770942635396,12,81860.0,114718.0,705.0,859.0,1383796.0,4261175.0,Punjab National Bank,Home
ICICI Insta Home Loan,10.03214529829795,22,22260.0,135597.0,718.0,864.0,1423966.0,3143689.0,State Bank of India,Home
Axis Bank Home Loan,7.045985258083149,29,85883.0,161217.0,785.0,888.0,714650.0,3130322.0,Kotak Mahindra Bank,Home
Kotak Mahindra Home Loan,7.50735771433016,20,44741.0,198351.0,814.0,896.0,1051848.0,4116075.0,ICICI Bank,Home
Axis Asha Home Loan,10.317508845540278,9,57211.0,126832.0,822.0,878.0,1108856.0,2896220.0,ICICI Bank,Home
SBI FlexiPay Home Loan,7.025307919231094,26,61542.0,154818.0,835.0,874.0,1137534.0,4660941.0,Punjab National Bank,Home
HDFC Reach Home Loans,7.804040257087493,17,26869.0,197398.0,772.0,897.0,1757334.0,4317642.0,ICICI Bank,Home
HDFC Home Loan,9.74366894683293,23,84732.0,112864.0,746.0,855.0,2207307.0,2579709.0,State Bank of India,Home
Axis Asha Home Loan,10.459475988463467,7,39422.0,188378.0,784.0,860.0,847493.0,4710297.0,Punjab National Bank,Home
Axis Bank Home Loan,10.259806297513002,12,55613.0,108177.0,727.0,866.0,1673036.0,3045406.0,Punjab National Bank,Home
PNB Housing Finance Home Loan,8.1213465473028,16,77016.0,146115.0,745.0,864.0,685084.0,2776233.0,Axis Bank,Home
PNB Housing Finance Home Loan,10.56089610673768,6,80110.0,156210.0,831.0,865.0,704228.0,3591532.0,Punjab National Bank,Home
